timestamp,open,high,low,close,volume
2025-03-18,2000.0,2038.6597891268477,1988.7984006597806,2030.142289804966,10640.378066391058
2025-03-19,2030.142289804966,2032.234759110143,1996.4101408704048,1997.220826591134,37324.64147752437
2025-03-20,1997.220826591134,2009.167628618248,1975.4575599854077,1987.733303342796,22223.73250374782
2025-03-21,1987.733303342796,2038.2952041290507,1969.8857252314895,2014.81921699315,25622.579220912252
2025-03-22,2014.81921699315,2104.9369565634915,1999.2474225349881,2096.7597274082154,7349.399949199575
2025-03-23,2096.7597274082154,2116.437141844984,2033.2594213490147,2041.5022489400733,11386.045856571016
2025-03-24,2041.5022489400733,2061.112355975417,1982.2878546657641,1997.1080942651831,17295.043262424708
2025-03-25,1997.1080942651831,2030.8088602674773,1993.1042461133911,2013.7516860228507,13345.250891534452
2025-03-26,2013.7516860228507,2030.4619333190096,1945.2622773137823,1966.2154680393776,9307.544879079922
2025-03-27,1966.2154680393776,1974.4403437860403,1913.6146820329636,1919.624622033854,18889.33769736546
2025-03-28,1919.624622033854,1970.9741041036698,1910.4190828467347,1954.3616936026729,12354.564584882452
2025-03-29,1954.3616936026729,1977.6550206893737,1948.5056940840657,1961.62632440855,13337.934825956856
2025-03-30,1961.62632440855,1968.9176141607525,1910.0913665085582,1932.6769533816575,17179.778809036776
2025-03-31,1932.6769533816575,1945.2152013816437,1924.1498761445087,1943.4542758743007,6288.491414193081
2025-04-01,1943.4542758743007,1950.0777879847133,1921.2085265331202,1933.2388240380994,17140.221081698226
2025-04-02,1933.2388240380994,1954.650610910653,1903.8449741843983,1907.838231606547,35281.61539065963
2025-04-03,1907.838231606547,1922.441244630977,1811.3099270845635,1822.1992128914083,30064.35229213289
2025-04-04,1822.1992128914083,1865.1498656626786,1802.9117493505337,1850.3445923824681,22527.776868279812
2025-04-05,1850.3445923824681,1852.180389995485,1807.6893134414663,1824.9786188143942,20068.70297704248
2025-04-06,1824.9786188143942,1840.2457881093198,1797.6893085084314,1818.9179264103118,15682.970912022934
2025-04-07,1818.9179264103118,1824.1313228679498,1764.0973420478201,1773.0171510752898,15153.77915598022
2025-04-08,1773.0171510752898,1802.6106218667953,1770.1147880363058,1793.4973385718881,24947.992373020694
2025-04-09,1793.4973385718881,1850.7108600017402,1785.7821199559262,1829.8908989623526,34992.01511915522
2025-04-10,1829.8908989623526,1903.0463518278907,1821.8113967459876,1890.978619667788,22577.67120412375
2025-04-11,1890.978619667788,1919.5387896477746,1875.251269718996,1910.0853717505008,20782.278096257065
2025-04-12,1910.0853717505008,1963.8538791333713,1908.2814263101136,1954.001594130258,31688.12020352781
