datetime,open,high,low,close,volume
2023-06-01 00:00:00,1800.0,1808.53,1797.76,1800.0,661924.0
2023-06-01 04:00:00,1800.0,1829.21,1790.15,1817.89,744606.0
2023-06-01 08:00:00,1817.89,1823.19,1802.69,1815.19,611546.0
2023-06-01 12:00:00,1815.19,1850.2,1815.19,1838.16,544817.0
2023-06-01 16:00:00,1838.16,1890.45,1838.16,1890.4,1478442.0
2023-06-01 20:00:00,1890.4,1890.4,1875.93,1884.32,1080534.0
2023-06-02 00:00:00,1884.32,1885.07,1858.19,1878.26,1453816.0
2023-06-02 04:00:00,1878.26,1944.3,1878.26,1933.53,1698466.0
2023-06-02 08:00:00,1933.53,1977.17,1933.53,1962.17,1373412.0
2023-06-02 12:00:00,1962.17,1962.17,1930.69,1947.55,1670914.0
2023-06-02 16:00:00,1947.55,1991.79,1947.55,1968.52,1161513.0
2023-06-02 20:00:00,1968.52,1971.92,1952.61,1954.07,664309.0
2023-06-03 00:00:00,1954.07,1954.07,1919.07,1939.64,2040912.0
2023-06-03 04:00:00,1939.64,1961.21,1929.95,1950.03,895774.0
2023-06-03 08:00:00,1950.03,1950.03,1863.76,1884.82,753287.0
2023-06-03 12:00:00,1884.82,1884.82,1819.65,1828.19,1100242.0
2023-06-03 16:00:00,1828.19,1828.19,1796.46,1811.51,761918.0
2023-06-03 20:00:00,1811.51,1811.51,1758.66,1780.3,976065.0
2023-06-04 00:00:00,1780.3,1801.19,1751.54,1792.15,1428345.0
2023-06-04 04:00:00,1792.15,1792.15,1758.28,1764.65,1431410.0
2023-06-04 08:00:00,1764.65,1764.65,1713.95,1721.55,767647.0
2023-06-04 12:00:00,1721.55,1785.97,1721.55,1768.69,942364.0
2023-06-04 16:00:00,1768.69,1771.48,1756.74,1763.27,2057838.0
2023-06-04 20:00:00,1763.27,1770.38,1761.36,1767.18,1541398.0
2023-06-05 00:00:00,1767.18,1767.18,1707.72,1723.63,3394043.0
2023-06-05 04:00:00,1723.63,1723.63,1682.91,1708.46,2169623.0
